 5.00000000e-14  2.43520258e-01  5.00000000e-14  1.39096576e+00  5.00000000e-14  1.09895335e+00  5.00000000e-14  1.09895331e+00 
 5.00751000e-14  2.43252217e-01  5.00751000e-14  1.39062970e+00  5.00751000e-14  1.09895221e+00  5.00751000e-14  1.09895215e+00 
 5.02253001e-14  2.42890825e-01  5.02253001e-14  1.39024447e+00  5.02253001e-14  1.09895025e+00  5.02253001e-14  1.09895019e+00 
 5.05257001e-14  2.42514298e-01  5.05257001e-14  1.39000225e+00  5.05257001e-14  1.09894762e+00  5.05257001e-14  1.09894760e+00 
 5.11265003e-14  2.41826395e-01  5.11265003e-14  1.38960305e+00  5.11265003e-14  1.09894471e+00  5.11265003e-14  1.09894470e+00 
 5.22541228e-14  2.40884166e-01  5.22541228e-14  1.38898778e+00  5.22541228e-14  1.09894268e+00  5.22541228e-14  1.09894267e+00 
 5.40543052e-14  2.40038797e-01  5.40543052e-14  1.38839310e+00  5.40543052e-14  1.09894211e+00  5.40543052e-14  1.09894211e+00 
 5.67488822e-14  2.39227966e-01  5.67488822e-14  1.38782829e+00  5.67488822e-14  1.09894209e+00  5.67488822e-14  1.09894210e+00 
 6.13981715e-14  2.37891303e-01  6.13981715e-14  1.38687088e+00  6.13981715e-14  1.09894208e+00  6.13981715e-14  1.09894210e+00 
 7.06967500e-14  2.35267851e-01  7.06967500e-14  1.38500274e+00  7.06967500e-14  1.09894209e+00  7.06967500e-14  1.09894210e+00 
 8.92939070e-14  2.30068500e-01  8.92939070e-14  1.38127451e+00  8.92939070e-14  1.09894208e+00  8.92939070e-14  1.09894210e+00 
 1.26488221e-13  2.20008134e-01  1.26488221e-13  1.37403532e+00  1.26488221e-13  1.09894209e+00  1.26488221e-13  1.09894210e+00 
 2.00876849e-13  2.01045831e-01  2.00876849e-13  1.36018408e+00  2.00876849e-13  1.09894209e+00  2.00876849e-13  1.09894210e+00 
 3.49654105e-13  1.67536657e-01  3.49654105e-13  1.33489881e+00  3.49654105e-13  1.09894210e+00  3.49654105e-13  1.09894211e+00 
 6.47208617e-13  1.15140824e-01  6.47208617e-13  1.29224255e+00  6.47208617e-13  1.09894210e+00  6.47208617e-13  1.09894210e+00 
 1.15968079e-12  5.74687656e-02  1.15968079e-12  1.23786580e+00  1.15968079e-12  1.09894211e+00  1.15968079e-12  1.09894211e+00 
 1.71158532e-12  2.43315492e-02  1.71158532e-12  1.19860424e+00  1.71158532e-12  1.09894210e+00  1.71158532e-12  1.09894211e+00 
 2.36033027e-12  5.65660160e-03  2.36033027e-12  1.16853806e+00  2.36033027e-12  1.09894210e+00  2.36033027e-12  1.09894212e+00 
 3.08812350e-12 -2.84755034e-03  3.08812350e-12  1.14699929e+00  3.08812350e-12  1.09894207e+00  3.08812350e-12  1.09894211e+00 
 4.02730828e-12 -5.50395028e-03  4.02730828e-12  1.13006435e+00  4.02730828e-12  1.09894203e+00  4.02730828e-12  1.09894212e+00 
 5.00000000e-12 -4.69784285e-03  5.00000000e-12  1.11972817e+00  5.00000000e-12  1.09894198e+00  5.00000000e-12  1.09894211e+00 
 5.10852023e-12 -4.54204250e-03  5.10852023e-12  1.11889451e+00  5.10852023e-12  1.09894198e+00  5.10852023e-12  1.09894212e+00 
 5.32556068e-12 -4.24352335e-03  5.32556068e-12  1.11728796e+00  5.32556068e-12  1.09894197e+00  5.32556068e-12  1.09894212e+00 
 5.75964160e-12 -3.67043186e-03  5.75964160e-12  1.11448636e+00  5.75964160e-12  1.09894195e+00  5.75964160e-12  1.09894212e+00 
 6.62780342e-12 -2.67853507e-03  6.62780342e-12  1.11017867e+00  6.62780342e-12  1.09894191e+00  6.62780342e-12  1.09894212e+00 
 8.36412708e-12 -1.33645896e-03  8.36412708e-12  1.10494549e+00  8.36412708e-12  1.09894183e+00  8.36412708e-12  1.09894212e+00 
 1.18367744e-11 -2.38234103e-04  1.18367744e-11  1.10090725e+00  1.18367744e-11  1.09894169e+00  1.18367744e-11  1.09894212e+00 
 1.53029865e-11 -3.72451935e-05  1.53029865e-11  1.10015604e+00  1.53029865e-11  1.09894156e+00  1.53029865e-11  1.09894211e+00 
 2.03029865e-11  9.58445824e-06  2.03029865e-11  1.09998510e+00  2.03029865e-11  1.09894136e+00  2.03029865e-11  1.09894211e+00 
 2.53029865e-11  9.73654416e-06  2.53029865e-11  1.09998352e+00  2.53029865e-11  1.09894117e+00  2.53029865e-11  1.09894211e+00 
 3.03029865e-11  9.84221269e-06  3.03029865e-11  1.09998351e+00  3.03029865e-11  1.09894097e+00  3.03029865e-11  1.09894211e+00 
 3.53029865e-11  9.79830236e-06  3.53029865e-11  1.09998349e+00  3.53029865e-11  1.09894077e+00  3.53029865e-11  1.09894211e+00 
 4.03029865e-11  9.82113669e-06  4.03029865e-11  1.09998350e+00  4.03029865e-11  1.09894058e+00  4.03029865e-11  1.09894211e+00 
 4.53029865e-11  9.80764116e-06  4.53029865e-11  1.09998350e+00  4.53029865e-11  1.09894038e+00  4.53029865e-11  1.09894211e+00 
 5.03029865e-11  9.81706694e-06  5.03029865e-11  1.09998350e+00  5.03029865e-11  1.09894019e+00  5.03029865e-11  1.09894210e+00 
 5.53029865e-11  9.80939319e-06  5.53029865e-11  1.09998350e+00  5.53029865e-11  1.09893999e+00  5.53029865e-11  1.09894210e+00 
 6.03029865e-11  9.81628924e-06  6.03029865e-11  1.09998350e+00  6.03029865e-11  1.09893979e+00  6.03029865e-11  1.09894210e+00 
 6.53029865e-11  9.80971388e-06  6.53029865e-11  1.09998350e+00  6.53029865e-11  1.09893960e+00  6.53029865e-11  1.09894210e+00 
 7.03029865e-11  9.81613377e-06  7.03029865e-11  1.09998350e+00  7.03029865e-11  1.09893940e+00  7.03029865e-11  1.09894210e+00 
 7.53029865e-11  9.80976387e-06  7.53029865e-11  1.09998350e+00  7.53029865e-11  1.09893921e+00  7.53029865e-11  1.09894210e+00 
 8.03029865e-11  9.81609612e-06  8.03029865e-11  1.09998350e+00  8.03029865e-11  1.09893901e+00  8.03029865e-11  1.09894209e+00 
 8.53029865e-11  9.80976266e-06  8.53029865e-11  1.09998350e+00  8.53029865e-11  1.09893881e+00  8.53029865e-11  1.09894209e+00 
 9.03029865e-11  9.81608061e-06  9.03029865e-11  1.09998350e+00  9.03029865e-11  1.09893862e+00  9.03029865e-11  1.09894209e+00 
 9.53029865e-11  9.80975195e-06  9.53029865e-11  1.09998350e+00  9.53029865e-11  1.09893842e+00  9.53029865e-11  1.09894209e+00 
 1.00302986e-10  9.81606918e-06  1.00302986e-10  1.09998350e+00  1.00302986e-10  1.09893822e+00  1.00302986e-10  1.09894209e+00 
 1.05302986e-10  9.80973939e-06  1.05302986e-10  1.09998350e+00  1.05302986e-10  1.09893803e+00  1.05302986e-10  1.09894209e+00 
 1.10302986e-10  9.81605872e-06  1.10302986e-10  1.09998350e+00  1.10302986e-10  1.09893783e+00  1.10302986e-10  1.09894209e+00 
 1.15302986e-10  9.80972642e-06  1.15302986e-10  1.09998350e+00  1.15302986e-10  1.09893764e+00  1.15302986e-10  1.09894208e+00 
 1.20302986e-10  9.81604829e-06  1.20302986e-10  1.09998350e+00  1.20302986e-10  1.09893744e+00  1.20302986e-10  1.09894208e+00 
 1.25302986e-10  9.80971354e-06  1.25302986e-10  1.09998350e+00  1.25302986e-10  1.09893724e+00  1.25302986e-10  1.09894208e+00 
 1.30302986e-10  9.81603794e-06  1.30302986e-10  1.09998350e+00  1.30302986e-10  1.09893705e+00  1.30302986e-10  1.09894208e+00 
